Title,Score,Episodes,Genres,Status
Yuuri!!! on ICE,77.0,12.0,"Comedy, Drama, Sports",FINISHED
Non Non Biyori: Repeat - Hotaru ga Tanoshinda,77.0,1.0,"Comedy, Slice of Life",FINISHED
Kidou Senshi Gundam Thunderbolt,77.0,4.0,"Action, Mecha, Sci-Fi",FINISHED
Lupin III: PART IV,77.0,24.0,"Action, Adventure, Comedy",FINISHED
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,77.0,1.0,"Action, Comedy, Sci-Fi",FINISHED
Love Live! The School Idol Movie,77.0,1.0,"Music, Slice of Life",FINISHED
Yuru Yuri Nachuyachumi!,77.0,1.0,"Comedy, Slice of Life",FINISHED
Hanasaku Iroha,77.0,26.0,"Comedy, Drama, Slice of Life",FINISHED
Omae Umasou da na,77.0,1.0,"Action, Adventure, Fantasy",FINISHED
Zan Sayonara Zetsubou Sensei,77.0,13.0,Comedy,FINISHED
Tokyo Magnitude 8.0,77.0,11.0,Drama,FINISHED
Saint Seiya: Meiou Hades Juuni Kyuu-hen,77.0,13.0,"Adventure, Sci-Fi",FINISHED
Crayon Shin-chan,77.0,,"Comedy, Ecchi, Slice of Life",RELEASING
Interstella 5555: THE 5TORY OF THE 5ECRET 5TAR 5YSTEM,77.0,1.0,"Adventure, Drama, Music, Sci-Fi",FINISHED
Wan Sheng Jie 4,77.0,12.0,"Comedy, Fantasy, Slice of Life, Supernatural",FINISHED
Undead Unluck,77.0,24.0,"Action, Comedy, Sci-Fi, Supernatural",FINISHED
Douluo Dalu: Benfu Qianxian,77.0,3.0,"Action, Adventure, Fantasy, Romance",FINISHED
Lagtrain,77.0,1.0,,FINISHED
DAICON IV Opening Animation,77.0,1.0,"Action, Adventure, Mecha, Music, Sci-Fi",FINISHED
Macross Δ: Zettai LIVE!!!!!!,77.0,1.0,"Action, Mecha, Music, Romance, Sci-Fi",FINISHED
Tonikaku Kawaii,77.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Jibaku Shounen Hanako-kun,77.0,12.0,"Action, Comedy, Drama, Mystery, Supernatural",FINISHED
BEASTARS,77.0,12.0,"Drama, Mystery, Psychological, Romance, Slice of Life",FINISHED
Meitantei Conan: Konjou no Fist,77.0,1.0,"Action, Drama, Mystery",FINISHED
Hibike! Euphonium: Chikai no Finale,77.0,1.0,"Drama, Music, Slice of Life",FINISHED
Megalo Box,77.0,13.0,"Action, Drama, Sci-Fi, Sports",FINISHED
Hibike! Euphonium: Todoketai Melody,77.0,1.0,"Drama, Music, Slice of Life",FINISHED
Hoozuki no Reitetsu 2,77.0,13.0,"Comedy, Fantasy, Supernatural",FINISHED
Magi: Sinbad no Bouken,77.0,13.0,"Action, Adventure, Fantasy",FINISHED
Ushio to Tora 2 (TV),77.0,13.0,"Action, Adventure, Comedy, Supernatural",FINISHED
ARIA The ORIGINATION: Sono Choppiri Himitsu no Basho ni...,77.0,1.0,"Comedy, Fantasy, Sci-Fi, Slice of Life",FINISHED
Les Misérables: Shoujo Cosette,77.0,52.0,"Drama, Slice of Life",FINISHED
Shijou Saikyou no Deshi Kenichi,77.0,50.0,"Action, Comedy",FINISHED
Tunshi Xingkong 4,77.0,,"Action, Sci-Fi",RELEASING
Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,77.0,12.0,"Comedy, Ecchi, Romance",FINISHED
Tomo-chan wa Onnanoko!,77.0,13.0,"Comedy, Romance, Slice of Life",FINISHED
Princess Principal: Crown Handler - Chapter 3,77.0,1.0,"Action, Adventure, Mystery, Sci-Fi",FINISHED
Niehime to Kemono no Ou,77.0,24.0,"Drama, Fantasy, Romance",FINISHED
Code Geass: Fukkatsu no Lelouch,77.0,1.0,"Action, Drama, Mecha, Sci-Fi",FINISHED
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,77.0,1.0,"Action, Drama, Fantasy, Mahou Shoujo, Slice of Life",FINISHED
Ore Monogatari!!,77.0,24.0,"Comedy, Romance",FINISHED
JoJo no Kimyou na Bouken (TV),77.0,26.0,"Action, Adventure, Supernatural",FINISHED
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,77.0,28.0,"Drama, Sci-Fi",FINISHED
Choujikuu Yousai Macross: Ai Oboete Imasu ka,77.0,1.0,"Action, Mecha, Music, Romance, Sci-Fi",FINISHED
Juuni Kokuki,77.0,45.0,"Action, Adventure, Fantasy, Supernatural",FINISHED
Kaze no Yukue,77.0,1.0,,FINISHED
Utakata Lullaby,77.0,1.0,,FINISHED
Tonikaku Kawaii: Seifuku,77.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
Shingeki no Kyojin: Chimi Kyara Gekijou - Final,77.0,2.0,"Comedy, Fantasy",FINISHED
Blue Period,77.0,12.0,"Drama, Slice of Life",FINISHED
"Yahari Ore no Seishun Love Come wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",77.0,1.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Princess Connect! Re:Dive Season 2,77.0,12.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Tunshi Xingkong,77.0,26.0,"Action, Sci-Fi",FINISHED
PSYCHO-PASS 3: FIRST INSPECTOR,77.0,3.0,"Action, Psychological, Sci-Fi, Thriller",FINISHED
Aggressive Retsuko Season 3,77.0,10.0,"Comedy, Music, Slice of Life",FINISHED
Mairimashita! Iruma-kun,77.0,23.0,"Comedy, Fantasy",FINISHED
Shoujo☆Kageki Revue Starlight,77.0,12.0,"Action, Drama, Music, Psychological",FINISHED
Kekkai Sensen & BEYOND,77.0,12.0,"Action, Comedy, Supernatural",FINISHED
Bungou Stray Dogs,77.0,12.0,"Action, Comedy, Mystery, Supernatural",FINISHED
Plastic Memories,77.0,13.0,"Drama, Romance, Sci-Fi, Slice of Life",FINISHED
Gekkan Shoujo Nozaki-kun,77.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Yowamushi Pedal,77.0,38.0,"Comedy, Drama, Sports",FINISHED
Uchouten Kazoku,77.0,13.0,"Comedy, Drama, Fantasy, Slice of Life, Supernatural",FINISHED
Kimi to Boku. 2,77.0,13.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Ramayana: Rama Ouji Densetsu,77.0,1.0,Adventure,FINISHED
xxxHOLiC Shunmuki,77.0,2.0,"Comedy, Drama, Mystery, Psychological, Supernatural",FINISHED
Bishoujo Senshi Sailor Moon: Sailor Stars,77.0,34.0,"Action, Adventure, Comedy, Drama, Fantasy, Mahou Shoujo, Romance",FINISHED
Top wo Nerae! GunBuster,77.0,6.0,"Action, Drama, Mecha, Sci-Fi",FINISHED
UNDEAD,77.0,1.0,,FINISHED
MF Ghost 2nd Season,77.0,12.0,"Sci-Fi, Sports",FINISHED
MONSTERS: Ippaku Sanjou Hiryuu Jigoku,77.0,1.0,"Action, Comedy, Drama",FINISHED
Isekai Oji-san,77.0,13.0,"Adventure, Comedy, Fantasy",FINISHED
Kinen Satsuei,77.0,1.0,Drama,FINISHED
ID: INVADED,77.0,13.0,"Drama, Mystery, Psychological, Sci-Fi, Thriller",FINISHED
Free!: Road to the World - Yume,77.0,1.0,"Comedy, Drama, Slice of Life, Sports",FINISHED
Meitantei Conan: Zero no Shikkounin,77.0,1.0,"Adventure, Comedy, Mystery",FINISHED
Tate no Yuusha no Nariagari,77.0,25.0,"Action, Adventure, Fantasy",FINISHED
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,77.0,12.0,"Drama, Psychological",FINISHED
Tanaka-kun wa Itsumo Kedaruge,77.0,12.0,"Comedy, Slice of Life",FINISHED
PriPara 2nd Season,77.0,51.0,"Comedy, Music, Slice of Life",FINISHED
Ao Haru Ride PAGE.13,77.0,1.0,"Romance, Slice of Life",FINISHED
Aikatsu! 2,77.0,51.0,Music,FINISHED
Space☆Dandy,77.0,13.0,"Comedy, Sci-Fi",FINISHED
Nagi no Asukara,77.0,26.0,"Drama, Fantasy, Romance, Slice of Life",FINISHED
Yuru Yuri♪♪,77.0,12.0,"Comedy, Slice of Life",FINISHED
Doraemon (2005),77.0,,"Adventure, Comedy, Sci-Fi",RELEASING
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode,77.0,4.0,"Adventure, Drama, Fantasy",FINISHED
Soul Eater,77.0,51.0,"Action, Adventure, Comedy, Fantasy, Supernatural",FINISHED
Kidou Senshi Gundam: Dai 08 MS Shotai,77.0,12.0,"Adventure, Drama, Mecha, Romance, Sci-Fi",FINISHED
Full Metal Panic! The Second Raid,77.0,13.0,"Action, Mecha, Sci-Fi",FINISHED
TEXHNOLYZE,77.0,22.0,"Action, Drama, Psychological, Sci-Fi",FINISHED
SAKAMOTO DAYS,76.0,11.0,"Action, Comedy",RELEASING
Watashi no Shiawase na Kekkon 2nd Season,76.0,13.0,"Drama, Romance, Supernatural",RELEASING
Pokémon Concierge,76.0,4.0,"Fantasy, Slice of Life",FINISHED
Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo,76.0,1.0,"Action, Adventure, Fantasy, Romance",FINISHED
Tsuki ga Michibiku Isekai Douchuu,76.0,12.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Shadows House,76.0,13.0,"Fantasy, Horror, Mystery, Slice of Life, Supernatural",FINISHED
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,76.0,8.0,"Drama, Mystery, Psychological, Thriller",FINISHED
Boku no Hero Academia,76.0,13.0,"Action, Adventure, Comedy",FINISHED
High☆Speed!: Free! Starting Days,76.0,1.0,"Comedy, Drama, Slice of Life, Sports",FINISHED
Overlord,76.0,13.0,"Action, Adventure, Fantasy",FINISHED
Seitokai Yakuindomo＊ OVA,76.0,10.0,"Comedy, Slice of Life",FINISHED
Kokoro Connect: Michi Random,76.0,4.0,"Drama, Romance, Slice of Life, Supernatural",FINISHED
Death Billiards,76.0,1.0,"Drama, Mystery, Psychological, Thriller",FINISHED
Sakasama no Patema,76.0,1.0,"Adventure, Romance, Sci-Fi",FINISHED
Usagi Drop Specials,76.0,4.0,Slice of Life,FINISHED
Nurarihyon no Mago: Sennen Makyou,76.0,24.0,"Action, Supernatural",FINISHED
Tsumiki no Ie,76.0,1.0,Drama,FINISHED
Tetsuwan Birdy DECODE:02,76.0,12.0,"Action, Comedy, Sci-Fi",FINISHED
CLANNAD,76.0,23.0,"Comedy, Drama, Romance, Slice of Life, Supernatural",FINISHED
Katekyou Hitman REBORN!,76.0,203.0,"Action, Comedy",FINISHED
Yuureisen-sen,76.0,1.0,"Action, Supernatural",FINISHED
Sasaki to Miyano: Koi ni Kizuku Mae no Chottoshita Hanashi.,76.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
Heike Monogatari,76.0,11.0,"Drama, Supernatural",FINISHED
Yama no Susume: Next Summit,76.0,12.0,"Adventure, Comedy, Slice of Life",FINISHED
Kakushigoto: Himegoto wa Nandesuka,76.0,1.0,"Comedy, Slice of Life",FINISHED
Free!: the Final Stroke - Zenpen,76.0,1.0,"Drama, Slice of Life, Sports",FINISHED
Dramaturgy,76.0,1.0,,FINISHED
Wu Shan Wu Xing: Zhuo Yuan Shen Huo,76.0,3.0,"Action, Drama, Fantasy",FINISHED
Dou Po Cangqiong 3,76.0,12.0,"Action, Adventure, Fantasy, Mystery, Romance",FINISHED
Shingeki no Kyojin Season 2: Kakusei no Houkou,76.0,1.0,"Action, Drama, Fantasy, Mystery",FINISHED
ONE PIECE: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,76.0,1.0,"Action, Adventure, Drama",FINISHED
Pocket Monsters XY&Z,76.0,47.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Magic Kaito 1412,76.0,24.0,"Action, Adventure, Comedy, Mystery",FINISHED
Jormungand: PERFECT ORDER,76.0,12.0,"Action, Adventure",FINISHED
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,76.0,1.0,"Adventure, Fantasy, Romance",FINISHED
"CLANNAD: Mou Hitotsu no Sekai, Tomoyo-hen",76.0,1.0,"Drama, Romance, Slice of Life",FINISHED
Wolf's Rain OVA,76.0,4.0,"Adventure, Drama, Psychological, Sci-Fi, Supernatural",FINISHED
Change!! Getter Robo: Sekai Saigo no Hi,76.0,13.0,"Action, Adventure, Horror, Mecha, Sci-Fi",FINISHED
Meitantei Conan: Juuyonbanme no Target,76.0,1.0,"Adventure, Mystery",FINISHED
Meitantei Conan: Tokei Jikake no Matenrou,76.0,1.0,"Adventure, Mystery",FINISHED
Arknights: 2024 Tebie Jinian Donghua,76.0,1.0,"Action, Fantasy",FINISHED
Dou Po Cangqiong: Nian Fan 3,76.0,52.0,"Action, Adventure, Fantasy",RELEASING
Boku no Hero Academia THE MOVIE: YOU'RE NEXT,76.0,1.0,"Action, Adventure, Sci-Fi",FINISHED
Giji Harem,76.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Aishang Ta De Liyou,76.0,22.0,"Drama, Romance",FINISHED
Berserk: Ougon Jidai-hen - MEMORIAL EDITION,76.0,13.0,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",FINISHED
PSYCHO-PASS PROVIDENCE,76.0,1.0,"Action, Psychological, Sci-Fi, Thriller",FINISHED
Dance Dance Danseur,76.0,11.0,"Drama, Romance, Slice of Life, Sports",FINISHED
Hanma Baki,76.0,12.0,"Action, Sports",FINISHED
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,76.0,1.0,"Action, Fantasy, Supernatural",FINISHED
Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,76.0,1.0,"Action, Comedy, Supernatural",FINISHED
Gochuumon wa Usagi desu ka?? Sing For You,76.0,1.0,"Comedy, Slice of Life",FINISHED
HUGtto! Precure ♡ Futari wa Precure All Stars Memories,76.0,1.0,"Action, Drama, Mahou Shoujo, Supernatural",FINISHED
NEW GAME!!,76.0,12.0,"Comedy, Slice of Life",FINISHED
Haikyuu!!: VS Akaten,76.0,1.0,"Comedy, Drama, Sports",FINISHED
Akagami no Shirayuki-hime,76.0,12.0,"Drama, Fantasy, Romance",FINISHED
LUPIN THE IIIRD: Jigen Daisuke no Bohyou,76.0,1.0,"Action, Adventure, Comedy, Drama",FINISHED
Log Horizon,76.0,25.0,"Action, Adventure, Fantasy",FINISHED
Little Witch Academia,76.0,1.0,"Comedy, Fantasy",FINISHED
LUPIN the Third: Mine Fujiko to Iu Onna,76.0,13.0,"Action, Adventure, Comedy, Drama, Ecchi, Psychological, Thriller",FINISHED
WORKING'!!,76.0,13.0,"Comedy, Slice of Life",FINISHED
Kami nomi zo Shiru Sekai II,76.0,12.0,"Comedy, Romance, Supernatural",FINISHED
Hidamari Sketch x 365 Specials,76.0,3.0,"Comedy, Slice of Life",FINISHED
Inazuma Eleven,76.0,127.0,Sports,FINISHED
Major: Yuujou no Ikkyuu,76.0,1.0,"Action, Sports",FINISHED
TRIGUN: Badlands Rumble,76.0,1.0,"Action, Comedy, Sci-Fi",FINISHED
Takarajima,76.0,26.0,"Adventure, Drama, Mystery",FINISHED
Ookiku Furikabutte,76.0,25.0,"Comedy, Sports",FINISHED
Glass no Kamen (2005),76.0,51.0,Drama,FINISHED
City Hunter,76.0,51.0,"Action, Comedy, Mystery",FINISHED
JIN-ROH,76.0,1.0,"Action, Drama, Psychological, Romance, Thriller",FINISHED
Hachimitsu to Clover,76.0,24.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Benghuai: Xingqiong Tiedao - Xuanhuang,76.0,1.0,"Action, Adventure, Drama, Fantasy",FINISHED
Tensei Shitara Slime Datta Ken: Coleus no Yume,76.0,3.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Douluo Dalu: Nu Shi Mo Zhan,76.0,3.0,"Action, Adventure, Fantasy, Romance",FINISHED
Douluo Dalu: Di Ying Laixi,76.0,3.0,"Action, Adventure, Fantasy, Romance",FINISHED
Date A Live V,76.0,12.0,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",FINISHED
Bishoujo Senshi Sailor Moon: Cosmos - Zenpen,76.0,1.0,"Action, Adventure, Drama, Fantasy, Mahou Shoujo, Romance",FINISHED
Kaede to Suzu THE ANIMATION,76.0,3.0,Hentai,FINISHED
Shingeki no Kyojin: Chronicle,76.0,1.0,"Action, Drama, Fantasy, Mystery",FINISHED
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,76.0,1.0,"Action, Drama, Music",FINISHED
Yi Nian Yongheng,76.0,52.0,"Action, Comedy, Fantasy",FINISHED
"Yuru Yuri,",76.0,1.0,"Comedy, Slice of Life",FINISHED
Code Geass: Hangyaku no Lelouch I - Koudou,76.0,1.0,"Action, Drama, Mecha, Sci-Fi, Thriller",FINISHED
Shingeki no Kyojin: LOST GIRLS,76.0,3.0,"Action, Drama, Fantasy, Mystery",FINISHED
DEVILMAN crybaby,76.0,10.0,"Action, Drama, Horror, Psychological, Supernatural",FINISHED
Seitokai Yakuindomo Movie,76.0,1.0,"Comedy, Slice of Life",FINISHED
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,76.0,6.0,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Slice of Life",FINISHED
Gochuumon wa Usagi desu ka?? Dear My Sister,76.0,1.0,"Comedy, Slice of Life",FINISHED
planetarian: Hoshi no Hito,76.0,1.0,"Drama, Fantasy, Sci-Fi",FINISHED
91Days,76.0,12.0,"Action, Drama, Psychological",FINISHED
Gochuumon wa Usagi desu ka??,76.0,12.0,Slice of Life,FINISHED
Lupin III vs. Meitantei Conan: THE MOVIE,76.0,1.0,"Action, Comedy, Mystery",FINISHED
Suzumiya Haruhi no Yuuutsu,76.0,14.0,"Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",FINISHED
Inuyasha,76.0,167.0,"Action, Adventure, Comedy, Fantasy, Romance",FINISHED
Kororon,76.0,1.0,,FINISHED
The Fable,76.0,25.0,"Action, Comedy, Drama, Romance, Thriller",FINISHED
Douluo Dalu: Gui Zong Zhi Lu,76.0,3.0,"Action, Adventure, Fantasy, Romance",FINISHED
Hirano to Kagiura,76.0,1.0,"Comedy, Romance, Slice of Life",FINISHED
MASHLE,76.0,12.0,"Action, Comedy, Fantasy",FINISHED
Ranma 1/2: Nettou-hen,76.0,143.0,"Action, Comedy, Ecchi, Romance, Slice of Life",FINISHED
THE iDOLM@STER Cinderella Girls: U149,76.0,12.0,"Comedy, Drama, Music, Slice of Life",FINISHED
Kengan Ashura Season 2,76.0,12.0,"Action, Sports",FINISHED
Douluo Dalu 2: Jueshi Tangmen,76.0,103.0,"Action, Adventure, Fantasy, Romance",RELEASING
BanG Dream! Garupa☆Pico Fever!,76.0,26.0,"Comedy, Music",FINISHED
Shokugeki no Souma: Shin no Sara,76.0,12.0,"Comedy, Ecchi",FINISHED
Chuan Shu Zijiu Zhinan,76.0,10.0,"Action, Adventure, Drama, Fantasy, Supernatural",FINISHED
Enen no Shouboutai,76.0,24.0,"Action, Drama, Sci-Fi, Supernatural",FINISHED
Yuuri!!! on ICE The Movie: ICE ADOLESCENCE,76.0,1.0,Sports,CANCELLED
Gintama: Jump Festa 2015 Special,76.0,1.0,"Action, Comedy",FINISHED
Aikatsu! 4,76.0,26.0,Music,FINISHED
Little Witch Academia: Mahou-jikake no Parade,76.0,1.0,"Comedy, Fantasy",FINISHED
Shingeki no Kyojin OVA,76.0,3.0,"Action, Drama, Fantasy, Mystery",FINISHED
DARKER THAN BLACK: Kuro no Keiyakusha - Gaiden,76.0,4.0,"Action, Mystery, Psychological, Sci-Fi",FINISHED
Saint Seiya: THE LOST CANVAS - Meiou Shinwa,76.0,13.0,"Action, Adventure, Supernatural",FINISHED
Mahou Shoujo Lyrical Nanoha: The MOVIE 1st,76.0,1.0,"Action, Drama, Fantasy, Mahou Shoujo, Sci-Fi",FINISHED
Goku Sayonara Zetsubou Sensei,76.0,3.0,Comedy,FINISHED
Gintama: Jump Festa 2005 Special,76.0,1.0,"Action, Comedy, Sci-Fi",FINISHED
Sayonara Zetsubou Sensei,76.0,12.0,Comedy,FINISHED
Tekkon Kinkreet,76.0,1.0,"Action, Psychological, Supernatural",FINISHED
Kindaichi Shounen no Jikenbo (TV),76.0,148.0,Mystery,FINISHED
Black Jack,76.0,10.0,"Action, Adventure, Drama, Mystery, Supernatural",FINISHED
Ergo Proxy,76.0,23.0,"Adventure, Mystery, Psychological, Sci-Fi",FINISHED
Dragon Ball DAIMA,76.0,20.0,"Action, Adventure",RELEASING
Yuuki Bakuhatsu Bang Bravern,76.0,12.0,"Action, Comedy, Mecha",FINISHED
Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,76.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Tonikaku Kawaii Season 2,76.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Imaizumin-chi wa Douyara Gal no Tamariba ni Natteru Rashii,76.0,4.0,Hentai,FINISHED
Kuraku Kuroku,76.0,1.0,"Adventure, Psychological, Sci-Fi, Supernatural",FINISHED
Taishou Otome Otogibanashi,76.0,12.0,"Comedy, Drama, Romance, Slice of Life",FINISHED
Kageki Shoujo!!,76.0,13.0,"Drama, Slice of Life",FINISHED
Date A Live IV,76.0,12.0,"Action, Comedy, Ecchi, Mecha, Romance, Sci-Fi",FINISHED
PSYCHO-PASS Sinners of the System Case 3: Onshuu no Kanata ni ____,76.0,1.0,"Action, Psychological, Sci-Fi, Thriller",FINISHED
Hoozuki no Reitetsu 2: Part II,76.0,13.0,"Comedy, Fantasy, Supernatural",FINISHED
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,76.0,1.0,"Comedy, Ecchi, Fantasy",FINISHED
Yuru Yuri Nachuyachumi!+,76.0,2.0,"Comedy, Slice of Life",FINISHED
Saenai Heroine no Sodatekata ♭,76.0,12.0,"Comedy, Romance, Slice of Life",FINISHED
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,76.0,1.0,"Comedy, Slice of Life",FINISHED
Aikatsu! 3,76.0,51.0,Music,FINISHED
Tamayura: More Aggressive,76.0,12.0,"Comedy, Slice of Life",FINISHED
Dragon Ball Kai,76.0,97.0,"Action, Adventure, Comedy",FINISHED
GHOST IN THE SHELL: Koukaku Kidoutai 2.0,76.0,1.0,"Action, Psychological, Sci-Fi",FINISHED
Detroit Metal City,76.0,12.0,"Comedy, Music",FINISHED
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,76.0,1.0,"Action, Sci-Fi",FINISHED
Digimon Adventure: Bokura no War Game!,76.0,1.0,"Action, Adventure, Fantasy, Sci-Fi",FINISHED
xxxHOLiC,76.0,24.0,"Comedy, Drama, Horror, Mystery, Psychological, Supernatural",FINISHED
xxxHOLiC: Manatsu no Yoru no Yume,76.0,1.0,"Comedy, Drama, Mystery, Psychological, Supernatural",FINISHED
Kidou Senshi Gundam,76.0,43.0,"Drama, Mecha, Sci-Fi",FINISHED
Ao no Exorcist: Yosuga-hen,76.0,12.0,"Action, Fantasy, Supernatural",RELEASING
Wonderful Precure!,76.0,50.0,"Fantasy, Mahou Shoujo",FINISHED
Benghuai: Xingqiong Tiedao - Fei Guang,76.0,1.0,"Action, Fantasy, Sci-Fi",FINISHED
Shukusei!! Loli Kami Requiem ☆,76.0,1.0,,FINISHED
Yi Nian Yongheng: Hezong Pian,76.0,16.0,"Action, Comedy, Fantasy",FINISHED
FAIRY TAIL: 100 YEARS QUEST,76.0,25.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Isekai Shokudou 2,76.0,12.0,"Fantasy, Slice of Life",FINISHED
Majo Minarai wo Sagashite,76.0,1.0,"Comedy, Mahou Shoujo",FINISHED
Somali to Mori no Kamisama,76.0,12.0,"Adventure, Drama, Fantasy, Slice of Life",FINISHED
Aggressive Retsuko Season 2,76.0,10.0,"Comedy, Music, Slice of Life",FINISHED
Asagao to Kase-san.,76.0,1.0,"Romance, Slice of Life",FINISHED
Yama no Susume: Third Season,76.0,13.0,"Adventure, Comedy, Slice of Life",FINISHED
Kishibe Rohan wa Ugokanai,76.0,4.0,"Horror, Mystery, Supernatural",FINISHED
Free!: Eternal Summer - Kindan no All Hard!,76.0,1.0,"Comedy, Slice of Life, Sports",FINISHED
Kuuchuu Buranko,76.0,11.0,"Comedy, Drama, Psychological",FINISHED
Michiko to Hatchin,76.0,22.0,"Action, Adventure",FINISHED
Macross Frontier,76.0,25.0,"Action, Mecha, Music, Romance, Sci-Fi",FINISHED
MASTER Keaton (OVA),76.0,15.0,"Adventure, Mystery",FINISHED
Kanon (2006),76.0,24.0,"Drama, Romance, Slice of Life, Supernatural",FINISHED
D.Gray-man,76.0,103.0,"Action, Adventure, Drama, Fantasy",FINISHED
Tenshi no Tamago,76.0,1.0,"Drama, Fantasy, Psychological",FINISHED
Watashi no Shiawase na Katachi,76.0,1.0,"Drama, Romance, Supernatural",FINISHED
Tondemo Skill de Isekai Hourou Meshi,76.0,12.0,"Adventure, Comedy, Fantasy",FINISHED
Tokyo Revengers: Seiya Kessen-hen,76.0,13.0,"Action, Drama, Romance, Supernatural",FINISHED
Bakuten!! Movie,76.0,1.0,"Comedy, Drama, Sports",FINISHED
Dragon Ball Super: Super Hero,76.0,1.0,"Action, Adventure, Fantasy, Sci-Fi",FINISHED
Boku no Hero Academia THE MOVIE: World Heroes' Mission,76.0,1.0,"Action, Adventure, Sci-Fi",FINISHED
Ai no Utagoe wo Kikasete,76.0,1.0,"Music, Sci-Fi",FINISHED
Bishoujo Senshi Sailor Moon: Eternal - Kouhen,76.0,1.0,"Drama, Fantasy, Mahou Shoujo, Romance",FINISHED
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,76.0,6.0,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Slice of Life",FINISHED
Re:Zero kara Hajimeru Isekai Seikatsu OVAs,76.0,2.0,"Comedy, Drama, Fantasy, Psychological",FINISHED
Free!: Take Your Marks,76.0,4.0,"Comedy, Slice of Life, Sports",FINISHED
Bungou Stray Dogs: Hitori Ayumu,76.0,1.0,"Action, Comedy, Mystery, Supernatural",FINISHED
Senki Zesshou Symphogear AXZ,76.0,13.0,"Action, Drama, Mahou Shoujo, Music, Sci-Fi",FINISHED
New Initial D Movie: Legend 3 - Mugen,76.0,1.0,"Action, Drama, Sports",FINISHED
Kokoro ga Sakebitagatterun da.,76.0,1.0,"Drama, Music, Romance, Slice of Life, Supernatural",FINISHED
"ONE PIECE ""3D2Y"": Ace no shi wo Koete! Luffy Nakama to no Chikai",76.0,1.0,"Action, Comedy, Fantasy",FINISHED
SKET DANCE: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,76.0,1.0,Comedy,FINISHED
Danshi Koukousei no Nichijou Specials,76.0,6.0,"Comedy, Slice of Life",FINISHED
TIGER & BUNNY,76.0,25.0,"Action, Comedy, Mecha, Mystery",FINISHED
Heartcatch Precure! Hana no Miyako de Fashion Show... Desu ka!?,76.0,1.0,"Action, Drama, Fantasy, Mahou Shoujo",FINISHED
ONE PIECE FILM: STRONG WORLD - EPISODE:0,76.0,1.0,"Action, Adventure, Comedy, Fantasy",FINISHED
Zan Sayonara Zetsubou Sensei Bangaichi,76.0,2.0,Comedy,FINISHED
JoJo no Kimyou na Bouken: Phantom Blood,76.0,1.0,"Action, Adventure, Horror",FINISHED
Eyeshield 21,76.0,145.0,"Action, Comedy, Sports",FINISHED
Sugar Apple Fairy Tale Part 2,76.0,12.0,"Adventure, Fantasy, Romance",FINISHED
Douluo Dalu: Nu Shi Ao Zhan,76.0,4.0,"Action, Fantasy",FINISHED
